não conseguir a resposta que eu queria;negativo
ajudou não ainda tenho duvida;negativo
tem outras respsota não?;negativo
ainda não entendi;negativo
ainda tenho duvidas;negativo
nao entendi;negativo
parace que voce esta digitando nada com nada;negativo
eu não queria nada disso;negativo
não é a resposta que eu queria;negativo
está tudo errado, não é isso que eu quero;negativo
não entendi sua resposta explica de novo;negativo
tem outra resposta não?;negativo
pessima resposta não entendi nada;negativo
não entendi nada do que foi mandado;negativo
não entendi isso;negativo
náo estou entendo nada me explica de novo;negativo
não sei;negativo
consegui entender mas ainda tenho muitas duvidas;negativo
você não entendeu oque eu disse essa resposta esta errada;negativo
Gostei da resposta mas esta não entendi ainda;negativo
muito errado;negativo
muito errada essa resposta;negativo
nada a ver com oque eu pedi;negativo
não tem nada aver com oque eu pedi;negativo
não tem nada a ver;negativo
não conseguir a resposta que eu queria mas obrigado estou satifeito;positivo
muito obrigado resolveu meu problema;positivo
muito obrigado solucionou meu problema;positivo
muito obrigadoestá correto;positivo
obrigado;positivo
estou otimo;positivo
A resposta sanou minha duvida sobre o curos;positivo
me ajudou muito;positivo
estou satifeito com a resposta, era so isso mesmo;positivo
ajudou;positivo
estou bem;positivo
entendi obrigado;positivo
gostei da resposta essa isso que eu queria;positivo
muito obrigado;positivo
é isso que eu queria mesmo;positivo
ok;positivo
esta otimo;positivo
gostei muito da resposta, so que esta fora de ordem as resposta;positivo
esta correto;positivo
era essa resposta que eu tava querendo, mas não achava;positivo
obrigado, você deu a resposta satisfatória, pra oque eu queria saber;positivo
estou satifeita com isso;positivo
estou satifeito com isso ok;positivo
a resposta esta bem completa e facil de entender;positivo
muito obrigado, a resposta esta muito completa e satisfatória para minha duvida;
